slide,section,arabic,urdu,notes,confidence
01,bahut-aasaan,اللّٰه,اللہ,cognate,high
01,bahut-aasaan,الْقُرْآن,قرآن,cognate,high
01,bahut-aasaan,الْحَلَال,حلال,cognate,high
01,bahut-aasaan,الْكَافِر,کافر,cognate,high
01,bahut-aasaan,الرَّبّ,رب,cognate,high
01,bahut-aasaan,الشُّكْر,شکر,cognate,high
01,bahut-aasaan,الطُّوفَان,طوفان,cognate,high
01,bahut-aasaan,الذِّكْر,ذکر,cognate,high
01,bahut-aasaan,الْخَيْر,خیر,cognate,high
01,bahut-aasaan,السُّورَة,سورۃ,cognate,high
01,bahut-aasaan,الْحَمْد,حمد,cognate,high
01,bahut-aasaan,الْحَشْر,حشر,cognate,high
01,bahut-aasaan,مُحَمَّد,محمد,proper-name-no-al,high
01,bahut-aasaan,الْكَعْبَة,کعبہ,cognate,high
01,bahut-aasaan,الْحَرَام,حرام,cognate,high
01,bahut-aasaan,الْفَسَاد,فساد,cognate,high
01,bahut-aasaan,الْخَالِق,خالق,cognate,high
01,bahut-aasaan,الشَّيْطَان,شیطان,cognate,high
01,bahut-aasaan,الْحَقّ,حق,cognate,high
01,bahut-aasaan,الشِّرْك,شرک,cognate,high
01,bahut-aasaan,الشَّرّ,شر,cognate,high
01,bahut-aasaan,الزَّكَاة,زکوٰۃ,cognate,high
01,bahut-aasaan,الْجَزَاء,جزا,cognate,high
01,bahut-aasaan,الْمُقَدَّس,مقدس,cognate,high
01,bahut-aasaan,الْإِسْلَام,اسلام,cognate,high
01,bahut-aasaan,الْجَنَّة,جنت,cognate,high
01,bahut-aasaan,الْمُؤْمِن,مومن,cognate,high
01,bahut-aasaan,الصُّلْح,صلح,cognate,high
01,bahut-aasaan,اللِّبَاس,لباس,cognate,high
01,bahut-aasaan,مُوسٰى,موسیٰ,proper-name-no-al,high
01,bahut-aasaan,الْبَاطِل,باطل,cognate,high
01,bahut-aasaan,التَّوْبَة,توبہ,cognate,high
01,bahut-aasaan,الْوَالِد,والد,cognate,high
01,bahut-aasaan,الدِّين,دین,cognate,high
01,bahut-aasaan,فِرْعَوْن,فرعون,proper-name-no-al,high
01,bahut-aasaan,الْمُبَارَك,مبارک,cognate,high
02,mazeed-alfaaz,الْحَجّ,حج,cognate,high
02,mazeed-alfaaz,الْكَلَام,کلام,cognate,high
02,mazeed-alfaaz,الرَّسُول,رسول,cognate,high
02,mazeed-alfaaz,الْعَمَل,عمل,cognate,high
02,mazeed-alfaaz,الْقَمَر,قمر/چاند,cognate,high
02,mazeed-alfaaz,الْمَسْجِد,مسجد,cognate,high
02,mazeed-alfaaz,الْإِبْن,بیٹا,book-gloss,high
02,mazeed-alfaaz,الْعِزَّة,عزت,fem-ta,high
02,mazeed-alfaaz,الْمَغْفِرَة,مغفرت,fem-ta,high
02,mazeed-alfaaz,الطُّلُوع,طلوع,cognate,high
02,mazeed-alfaaz,الْآيَة,آیت/نشانی,fem,high
02,mazeed-alfaaz,الْمَرَض,مرض,cognate,high
02,mazeed-alfaaz,الْجِهَاد,جہاد,cognate,high
02,mazeed-alfaaz,الْمُجَاهِد,مجاہد,cognate,high
02,mazeed-alfaaz,النَّبِيّ,نبی,cognate,high
02,mazeed-alfaaz,الْعَدْل,عدل,cognate,high
02,mazeed-alfaaz,الْعَرْش,عرش,cognate,high
02,mazeed-alfaaz,الْيَتِيم,یتیم,cognate,high
02,mazeed-alfaaz,الْمِيزَان,ترازو,book-gloss,high
02,mazeed-alfaaz,الذِّلَّة,ذلت,fem-ta,high
02,mazeed-alfaaz,الْمَشْرِق,مشرق,cognate,high
02,mazeed-alfaaz,الْغُرُوب,غروب,cognate,high
02,mazeed-alfaaz,الْعُمْرَة,عمرہ,fem-ta,high
02,mazeed-alfaaz,الشِّفَاء,شفا,cognate,high
02,mazeed-alfaaz,الْجَوَاب,جواب,cognate,high
02,mazeed-alfaaz,الْمُهَاجِر,مہاجر,cognate,high
02,mazeed-alfaaz,الْمُنَافِق,منافق,cognate,high
02,mazeed-alfaaz,اللَّعْنَة,لعنت,fem-ta,high
02,mazeed-alfaaz,النَّدَامَة,ندامت,fem-ta,high
02,mazeed-alfaaz,الْعِبْرَة,عبرت,fem-ta,high
02,mazeed-alfaaz,الْمُصِيبَة,مصیبت,fem-ta,high
02,mazeed-alfaaz,الرِّزْق,رزق,cognate,high
02,mazeed-alfaaz,الْمَغْرِب,مغرب,cognate,high
02,mazeed-alfaaz,السَّفَر,سفر,cognate,high
02,mazeed-alfaaz,الْفِرَاق,جدائی,book-gloss,high
02,mazeed-alfaaz,الذَّرَّة,ذرہ,fem-ta,high
03,mazeed-aasaan,الْإِيمَان,ایمان,cognate,high
03,mazeed-aasaan,التَّوْفِيق,توفیق,cognate,high
03,mazeed-aasaan,الْجِسْم,جسم,cognate,high
03,mazeed-aasaan,الْمُشْرِكَة,مشرکہ,cognate,med
03,mazeed-aasaan,الْأَذَان,اذان,cognate,high
03,mazeed-aasaan,الْقَسَم,قسم,cognate,high
03,mazeed-aasaan,الْخَبَر,خبر,cognate,high
03,mazeed-aasaan,السُّؤَال,سوال,cognate,high
03,mazeed-aasaan,الشَّفَاعَة,سفارش,book-gloss,high
03,mazeed-aasaan,الْإِحْسَان,احسان,cognate,high
03,mazeed-aasaan,الْحُبّ,محبت,cognate,high
03,mazeed-aasaan,الطَّاقَة,طاقت,book-gloss,high
03,mazeed-aasaan,الظُّلْم,ظلم,cognate,high
03,mazeed-aasaan,الْعَرَبِيّ,عربی,cognate,high
03,mazeed-aasaan,الْإِنْسَان,انسان,cognate,high
03,mazeed-aasaan,النَّهَر,نہر,cognate,high
03,mazeed-aasaan,الْجُمْعَة,جمعہ,cognate,high
03,mazeed-aasaan,الْفِتْنَة,فتنہ,cognate,high
03,mazeed-aasaan,الْقَتْل,قتل,cognate,high
03,mazeed-aasaan,الصَّفّ,صف,book-gloss,high
03,mazeed-aasaan,الْقَبْر,قبر,cognate,high
03,mazeed-aasaan,التِّلَاوَة,تلاوت,cognate,high
