slide,lesson,topic,arabic,confidence
01,1,huwa,"﴿هُوَ السَّمِيعُ الْبَصِيرُ﴾",high
01,1,huwa,"﴿هُوَ الْعَزِيزُ الْحَكِيمُ﴾",high
01,1,huwa,"﴿هُوَ الْأَوَّلُ وَهُوَ الْآخِرُ﴾",high
01,1,huwa,"﴿هُوَ الْحَقُّ﴾",high
01,1,huwa,"﴿وَهُوَ الْغَفُورُ الرَّحِيمُ﴾",high
04,4,hu-particle,"﴿لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ﴾",high
04,4,hu-particle,"﴿فِيهِ هُدًى وَنُورٌ﴾",high
04,4,hu-particle,"﴿إِنَّهُ هُوَ الْغَفُورُ الرَّحِيمُ﴾",high
04,4,hu-particle,"﴿وَلَهُ الْمُلْكُ﴾",high
04,4,hu-particle,"﴿لَهُ الْحُكْمُ﴾",high
04,4,hu-particle,"﴿لَهُ الْهُدَى﴾",high
08,8,ka-particle,"﴿الْحَقُّ مِنْ رَبِّكَ﴾",high
08,8,ka-particle,"﴿إِنَّ رَبَّكَ وَاسِعُ الْمَغْفِرَةِ﴾",high
12,12,ha-particle,"﴿فِيهَا خَيْرٌ﴾",high
12,12,ha-particle,"﴿لَهَا مَا كَسَبَتْ﴾",high
12,12,ha-particle,"﴿إِنَّهَا تَذْكِرَةٌ﴾",high
16,16,ya-particle,"﴿إِنِّي رَسُولُ اللهِ﴾",high
16,16,ya-particle,"﴿إِنِّي أَنَا اللهُ﴾",high
16,16,ya-particle,"﴿وَإِنِّي لَغَفَّارٌ﴾",high
