slide,section,arabic,urdu,notes,confidence
01,plural-pronouns,هُمْ,وہ سب (مذکر),detached plural pronoun "they";see-grammar,high
01,plural-pronouns,أَنْتُمْ,تم سب,detached plural pronoun "you all";see-grammar,high
01,plural-pronouns,نَحْنُ,ہم,detached plural pronoun "we";see-grammar,high
01,plural-demonstratives,هٰؤُلَاءِ,یہ لوگ,near plural "these";see-grammar,high
01,plural-demonstratives,أُولٰئِكَ,وہ لوگ,far plural "those";see-grammar,high
02,sound-masc-plural,الْمُسْلِمُونَ,مسلمان (جمع),subject ـُونَ / oblique ـِينَ,high
02,sound-masc-plural,الْمُؤْمِنُونَ,مومن (جمع),subject ـُونَ / ـِينَ,high
02,sound-masc-plural,الظَّالِمُونَ,ظالم (جمع),ـُونَ / الظَّالِمِينَ,high
02,sound-masc-plural,الْكَافِرُونَ,کافر (جمع),ـُونَ / الْكَافِرِينَ,high
02,sound-masc-plural,الْمُشْرِكُونَ,مشرک (جمع),ـُونَ / الْمُشْرِكِينَ,high
02,sound-masc-plural,الْمُنَافِقُونَ,منافق (جمع),ـُونَ / الْمُنَافِقِينَ,high
02,sound-masc-plural,الْمُتَّقُونَ,پرہیزگار,ـُونَ / الْمُتَّقِينَ,high
02,sound-masc-plural,الْمُفْلِحُونَ,کامیاب لوگ,ـُونَ / الْمُفْلِحِينَ,high
02,sound-masc-plural,الْمُجْرِمُونَ,مجرم (جمع),ـُونَ / الْمُجْرِمِينَ,high
02,sound-masc-plural,الْخَاسِرُونَ,نقصان اٹھانے والے,ـُونَ / الْخَاسِرِينَ,high
02,sound-masc-plural,الصَّابِرُونَ,صبر کرنے والے,ـُونَ / الصَّابِرِينَ,high
02,sound-masc-plural,الصَّالِحُونَ,نیک لوگ,ـُونَ / الصَّالِحِينَ,high
02,sound-masc-plural,الْمُحْسِنُونَ,احسان کرنے والے,ـُونَ / الْمُحْسِنِينَ,high
02,sound-masc-plural,الْمُفْسِدُونَ,فساد کرنے والے,ـُونَ / الْمُفْسِدِينَ,high
02,sound-masc-plural,الْعَابِدُونَ,عبادت کرنے والے,ـُونَ / الْعَابِدِينَ,high
02,sound-masc-plural,السَّاجِدُونَ,سجدہ کرنے والے,ـُونَ / السَّاجِدِينَ,high
02,sound-masc-plural,الْخَاشِعُونَ,عاجزی کرنے والے,ـُونَ / الْخَاشِعِينَ,high
02,sound-masc-plural,الْقَانِتُونَ,فرمانبردار,ـُونَ / الْقَانِتِينَ,med
02,sound-masc-plural,الْكَاذِبُونَ,جھوٹے,ـُونَ / الْكَاذِبِينَ,high
02,sound-masc-plural,الصَّادِقُونَ,سچے,ـُونَ / الصَّادِقِينَ,high
02,sound-masc-plural,الْغَافِلُونَ,غافل لوگ,ـُونَ / الْغَافِلِينَ,high
02,sound-masc-plural,الْمُقَرَّبُونَ,مقرب لوگ,ـُونَ / الْمُقَرَّبِينَ,high
02,sound-masc-plural,الْمُنْظَرُونَ,مہلت دیے گئے,ـُونَ / الْمُنْظَرِينَ,high
02,sound-masc-plural,الْمُحْضَرُونَ,حاضر کیے گئے,ـُونَ / الْمُحْضَرِينَ,high
02,sound-masc-plural,الْمُرْسَلُونَ,بھیجے گئے (رسول),ـُونَ / الْمُرْسَلِينَ,high
02,sound-masc-plural,الْمُكَذِّبُونَ,جھٹلانے والے,ـُونَ / الْمُكَذِّبِينَ,high
02,sound-masc-plural,الْمُنْذَرُونَ,ڈرائے گئے,ـُونَ / الْمُنْذَرِينَ,high
02,sound-masc-plural,الْمُصْلِحُونَ,اصلاح کرنے والے,ـُونَ / الْمُصْلِحِينَ,high
02,sound-masc-plural,الْعَامِلُونَ,عمل کرنے والے,ـُونَ / الْعَامِلِينَ,high
02,sound-masc-plural,النَّبِيُّونَ,نبی (جمع),ـُونَ / النَّبِيِّينَ,high
02,sound-masc-plural,الْفَاسِقُونَ,فاسق لوگ,ـُونَ / الْفَاسِقِينَ,high
02,sound-masc-plural,الْأَوَّلُونَ,پہلے لوگ,ـُونَ / الْأَوَّلِينَ,high
02,sound-masc-plural,الْآخِرُونَ,بعد والے لوگ,ـُونَ / الْآخِرِينَ,high
02,sound-masc-plural,الْعَالَمُونَ,جہان والے,oblique الْعَالَمِينَ,high
02,sound-masc-plural,النَّادِمُونَ,نادم/پشیمان,ـُونَ / النَّادِمِينَ,high
02,sound-masc-plural,الصَّاغِرُونَ,ذلیل لوگ,ـُونَ / الصَّاغِرِينَ,med
02,sound-masc-plural,الْخَاطِئُونَ,خطاکار لوگ,ـُونَ / الْخَاطِئِينَ,high
02,sound-masc-plural,الْمُهْتَدُونَ,ہدایت پانے والے,ـُونَ / الْمُهْتَدِينَ,high
02,sound-masc-plural,الْمُتَكَبِّرُونَ,تکبر کرنے والے,ـُونَ / الْمُتَكَبِّرِينَ,high
02,sound-fem-plural,الْمُسْلِمَات,مسلمان عورتیں,sound-fem ـَات,high
02,sound-fem-plural,الْمُؤْمِنَات,مومن عورتیں,sound-fem ـَات,high
02,sound-fem-plural,الْقَانِتَات,فرمانبردار عورتیں,sound-fem ـَات,high
02,sound-fem-plural,الصَّالِحَات,نیک عورتیں/نیکیاں,sound-fem ـَات,high
02,sound-fem-plural,الطَّيِّبَات,پاکیزہ چیزیں,sound-fem ـَات,high
02,sound-fem-plural,الْخَبِيثَات,ناپاک چیزیں/عورتیں,sound-fem ـَات,high
02,sound-fem-plural,الْمُشْرِكَات,مشرک عورتیں,sound-fem ـَات,high
02,sound-fem-plural,الْمُهَاجِرَات,ہجرت کرنے والی عورتیں,sound-fem ـَات,high
06,tafdil-plural,خَيْرُ الرَّازِقِينَ,سب رازقوں سے بہتر,tafdil + jamaa,high
06,tafdil-plural,أَرْحَمُ الرَّاحِمِينَ,سب سے بڑھ کر رحم والا,tafdil + jamaa,high
06,tafdil-plural,أَحْكَمُ الْحَاكِمِينَ,سب سے بہتر فیصلہ کرنے والا,tafdil + jamaa,high
06,tafdil-plural,أَحْسَنُ الْخَالِقِينَ,سب سے بہتر پیدا کرنے والا,tafdil + jamaa,high
06,tafdil-plural,أَوَّلُ الْمُؤْمِنِينَ,سب سے پہلا ایمان لانے والا,tafdil + jamaa,high
05,relational-nouns,سَبِيلُ الْمُؤْمِنِينَ,مومنوں کا راستہ,idafat + jamaa,high
05,relational-nouns,عَاقِبَةُ الظَّالِمِينَ,ظالموں کا انجام,idafat + jamaa,high
05,relational-nouns,أَسَاطِيرُ الْأَوَّلِينَ,پہلوں کی داستانیں,idafat + jamaa,high
05,relational-nouns,رَبُّ الْعَالَمِينَ,جہانوں کا رب,idafat + jamaa,high
07,attached-hum,ـهُمْ,ان کا/انہیں,plural suffix "their/them",high
07,attached-hum,لَهُمْ,ان کے لیے,li + hum,high
07,attached-hum,مِنْهُمْ,ان میں سے,min + hum,high
07,attached-hum,فِيهِمْ,ان میں,fi + hum,high
07,attached-hum,عَلَيْهِمْ,ان پر,ala + hum,high
07,attached-hum,إِلَيْهِمْ,ان کی طرف,ila + hum,high
07,attached-hum,بِهِمْ,ان کے ساتھ/سے,bi + hum,high
07,attached-hum,عَنْهُمْ,ان سے/ان کے بارے میں,an + hum,high
07,attached-hum,إِنَّهُمْ,بے شک وہ,inna + hum,high
07,attached-hum,كِتَابُهُمْ,ان کی کتاب,hum-on-noun,high
07,attached-hum,رَبُّهُمْ,ان کا رب,hum-on-noun,high
09,attached-kum,ـكُمْ,تمہارا/تمہیں,plural suffix "your/you",high
09,attached-kum,لَكُمْ,تمہارے لیے,li + kum,high
09,attached-kum,مِنْكُمْ,تم میں سے,min + kum,high
09,attached-kum,فِيكُمْ,تم میں,fi + kum,high
09,attached-kum,عَلَيْكُمْ,تم پر,ala + kum,high
09,attached-kum,إِلَيْكُمْ,تمہاری طرف,ila + kum,high
09,attached-kum,بِكُمْ,تمہارے ساتھ,bi + kum,high
09,attached-kum,إِنَّكُمْ,بے شک تم,inna + kum,high
09,attached-kum,رَبُّكُمْ,تمہارا رب,kum-on-noun,high
13,attached-na,ـنَا,ہمارا/ہمیں,plural suffix "our/us",high
13,attached-na,لَنَا,ہمارے لیے,li + na,high
13,attached-na,مِنَّا,ہم میں سے,min + na,high
13,attached-na,فِينَا,ہم میں,fi + na,high
13,attached-na,عَلَيْنَا,ہم پر,ala + na,high
13,attached-na,إِلَيْنَا,ہماری طرف,ila + na,high
13,attached-na,بِنَا,ہمارے ساتھ,bi + na,high
13,attached-na,عَنَّا,ہم سے,an + na,high
13,attached-na,إِنَّنَا,بے شک ہم,inna + na,high
13,attached-na,رَبُّنَا,ہمارا رب,na-on-noun,high
13,attached-na,كِتَابُنَا,ہماری کتاب,na-on-noun,high
26,demonstrative-vocab,شُفَعَاءُ,سفارشی,from haaulaai lesson,high
26,demonstrative-vocab,شُرَكَاءُ,شریک,from haaulaai lesson,high
26,demonstrative-vocab,آلِهَةٌ,معبود (جمع),from haaulaai lesson,high
26,demonstrative-vocab,شِرْذِمَةٌ,تھوڑا گروہ,from haaulaai lesson,med
21,expressions,هَلْ,کیا …؟,question particle,high
21,expressions,فَهَلْ,تو کیا …؟,question particle,high
21,expressions,أَلَا,خبردار/سنو,attention particle,high
21,expressions,أَلَيْسَ,کیا نہیں …؟,negative question,high
34,tamyiz,دِينًا,دین کے اعتبار سے,tamyiz -an "in terms of",high
34,tamyiz,عَمَلًا,عمل کے اعتبار سے,tamyiz -an,high
34,tamyiz,حُكْمًا,حکم کے اعتبار سے,tamyiz -an,high
