slide,lesson,topic,arabic,confidence
05,6,sifat-ayah,"﴿هٰذَا صِرَاطٌ مُسْتَقِيمٌ﴾",high
05,6,sifat-ayah,"﴿وَهٰذَا لِسَانٌ عَرَبِيٌّ مُبِينٌ﴾",high
05,6,sifat-ayah,"﴿وَفِي الْآخِرَةِ عَذَابٌ شَدِيدٌ﴾",high
05,6,sifat-ayah,"﴿فَلِلهِ الْحُجَّةُ الْبَالِغَةُ﴾",high
05,6,sifat-ayah,"﴿وَلَلدَّارُ الْآخِرَةُ خَيْرٌ﴾",high
05,6,sifat-ayah,"﴿إِنَّ هٰذَا لَشَيْءٌ عَجِيبٌ﴾",high
05,6,sifat-ayah,"﴿إِنَّ إِبْرَاهِيمَ كَانَ أُمَّةً قَانِتًا لِلهِ﴾",high
05,6,sifat-ayah,"﴿وَلَعَبْدٌ مُؤْمِنٌ خَيْرٌ مِنْ مُشْرِكٍ﴾",high
05,6,inna-tafdil,"﴿إِنَّمَا الْحَيَاةُ الدُّنْيَا لَعِبٌ وَلَهْوٌ﴾",high
05,6,ma-illa,"﴿وَمَا الْحَيَاةُ الدُّنْيَا إِلَّا مَتَاعُ الْغُرُورِ﴾",high
05,6,ma-illa,"﴿وَمَا الْحَيَاةُ الدُّنْيَا إِلَّا لَعِبٌ وَلَهْوٌ﴾",high
09,3,mukammal,"﴿هٰذَا يَوْمُ الْفَصْلِ﴾",high
09,3,mukammal,"﴿فَهٰذَا يَوْمُ الْبَعْثِ﴾",high
09,3,mukammal,"﴿ذٰلِكَ هُدَى اللهِ﴾",high
09,3,mukammal,"﴿تِلْكَ آيَاتُ اللهِ﴾",high
09,3,mukammal,"﴿وَأَرْضُ اللهِ وَاسِعَةٌ﴾",high
09,3,mukammal,"﴿ثَوَابُ اللهِ خَيْرٌ﴾",high
09,3,mukammal,"﴿اللهُ نُورُ السَّمَوَاتِ وَالْأَرْضِ﴾",high
09,3,mukammal,"﴿وَإِلَى اللهِ عَاقِبَةُ الْأُمُورِ﴾",high
09,3,mukammal,"﴿وَاللهُ خَزَائِنُ السَّمَوَاتِ وَالْأَرْضِ﴾",med
09,3,mukammal,"﴿وَلِلهِ مُلْكُ السَّمَوَاتِ وَالْأَرْضِ﴾",high
09,3,mukammal,"﴿وَلِلهِ جُنُودُ السَّمَوَاتِ وَالْأَرْضِ﴾",high
09,3,mukammal,"﴿لَا ظُلْمَ الْيَوْمَ إِنَّ اللهَ سَرِيعُ الْحِسَابِ﴾",high
